,Fraction_unaligned_single_gene,Fraction_unaligned_arms_gene,Fraction_unaligned_spacer_gene,Fraction_unaligned_single_geneless,Fraction_unaligned_arms_geneless,Fraction_unaligned_spacer_geneless
P3,0,0,None,0.017699115,0.26262479,0.745385708
P3,None,0,None,0.039397822,0,0.086071097
P6,0.02959292,0,None,0,0,0
P7,0,0,0,0.242203698,0,0
P8,0,0,None,0.117123208,0,0.089193973
P9,0,0,None,0.06702969,0,0
P10,0,0,0,0.135876916,0,0.027165064
P11,0,0,None,0.268019488,0.153379174,0
P21,0,None,0,0.106386037,0.091897188,0
P24,0,None,0.013408052,0,0,0.101023136
P25,0,0,None,0.250213574,0.343285659,0.67155644
P26,0,0,None,0.057103821,0,0
